id;catalogNumber;description;gpsLength;gpsWidth;gpsLengthPosition;gpsWidthPosition;indexLevel
6453;21;JQKDJ;95.0;96.0;S;E;8
5883;52;K767Z;99.0;93.0;S;E;8
6187;94;559XA;97.0;97.0;N;E;8
7694;51;ZXV4B;99.0;99.0;S;E;8
11310;44;L4X4P;7.0;1.0;S;E;9
9272;41;JUVMR;17.0;1.0;S;W;9
10986;81;U0JC5;1.0;2.0;S;W;9
7723;1;APIRK;10.0;4.0;S;E;9
6721;21;G2KKS;11.0;2.0;S;E;9
7982;15;KO4BN;13.0;2.0;S;E;9
5876;23;62YLG;18.0;1.0;S;E;9
6741;13;DP32J;26.0;1.0;S;E;9
10902;75;NFEQT;53.0;1.0;S;E;9
6919;14;7RLD8;24.0;2.0;N;E;9
7596;27;7FFAN;35.0;2.0;S;E;9
8819;14;7GYSR;28.0;3.0;S;E;9
7950;3;04MXV;37.0;3.0;S;E;9
8883;87;6GE3R;48.0;3.0;S;E;9
5370;49;E6FUN;70.0;1.0;S;E;9
5419;43;W5B6C;83.0;1.0;S;E;9
11319;70;L5BCT;95.0;1.0;S;E;9
7352;37;DS5XD;66.0;2.0;S;E;9
7276;32;O21HX;77.0;2.0;S;E;9
5512;19;YMQVM;64.0;3.0;S;E;9
5664;56;R9ERS;87.0;2.0;S;E;9
5974;82;0AO9Z;83.0;3.0;S;E;9
6002;82;OPD14;94.0;3.0;N;E;9
5849;28;A5P19;20.0;4.0;S;W;9
6000;7;UINN9;35.0;4.0;S;E;9
5834;44;J5JIT;56.0;4.0;S;E;9
9330;35;JMM3A;98.0;4.0;S;E;9
6640;91;87266;3.0;6.0;S;E;9
5605;71;KE0AH;2.0;11.0;S;E;9
5766;23;JKBWG;5.0;9.0;S;E;9
5371;0;30GQD;14.0;13.0;S;E;9
5196;51;E3ADA;1.0;27.0;S;E;9
5174;15;RD9EU;7.0;28.0;S;E;9
5484;55;DGWKO;10.0;16.0;N;E;9
5331;28;MMIX5;11.0;19.0;N;E;9
5727;73;59PSQ;15.0;28.0;S;E;9
5703;1;QCP27;16.0;7.0;S;E;9
6958;38;WLX5G;17.0;17.0;S;E;9
7749;53;Y2MZ5;19.0;18.0;N;E;9
6665;70;ANNHE;16.0;24.0;S;E;9
5804;52;RW4AU;20.0;24.0;S;E;9
6031;89;PKYD4;20.0;28.0;S;E;9
5262;87;JBBEK;1.0;35.0;S;W;9
5252;89;4EU2Q;2.0;37.0;S;E;9
5381;74;VL7CB;1.0;58.0;S;E;9
5366;10;VRM31;4.0;34.0;S;E;9
5271;50;1FNS6;6.0;42.0;S;E;9
6920;64;6QQI2;4.0;67.0;S;E;9
6028;15;VBY99;7.0;71.0;S;E;9
7731;73;5KTHI;3.0;79.0;S;E;9
5380;88;YEJLM;1.0;84.0;S;E;9
5396;49;9R4CK;5.0;75.0;S;E;9
6410;82;FG4E3;7.0;96.0;N;E;9
6293;58;IOI56;8.0;30.0;S;E;9
5437;36;4IX0G;12.0;31.0;S;E;9
8398;75;7U79S;16.0;32.0;S;E;9
5414;73;XV7BP;18.0;34.0;S;E;9
6095;91;826F8;16.0;36.0;S;E;9
5201;2;5HKCP;8.0;41.0;S;E;9
5325;26;CV5L1;11.0;66.0;S;E;9
5178;4;BVFSE;9.0;99.0;S;E;9
5423;53;OEONQ;11.0;89.0;N;E;9
5646;9;7X4FN;12.0;54.0;S;E;9
5099;12;6BW8J;17.0;48.0;S;W;9
5208;73;WWHQD;12.0;60.0;S;W;9
5120;34;FQ4EG;13.0;73.0;S;E;9
5136;47;BZHZE;21.0;39.0;N;W;9
5151;61;E5L9E;28.0;17.0;S;E;9
5088;17;X58P4;25.0;68.0;S;E;9
5129;91;XJH9L;27.0;65.0;S;E;9
5670;34;ZJ3LN;29.0;38.0;N;E;9
8102;16;UYRUD;29.0;63.0;N;E;9
5708;43;VYN5X;21.0;88.0;S;E;9
7030;88;O66LD;21.0;90.0;S;E;9
5924;3;ICKAR;22.0;74.0;S;E;9
5556;20;7WH6C;23.0;91.0;S;E;9
5257;48;864PF;29.0;88.0;S;E;9
5204;10;CS70V;33.0;12.0;S;E;9
5266;57;SYHS5;30.0;20.0;S;E;9
5227;10;V85YA;34.0;21.0;S;E;9
5135;86;AFOFZ;41.0;6.0;S;E;9
5051;24;NRMYS;65.0;20.0;N;E;9
5351;30;FVIHD;41.0;28.0;S;E;9
5183;21;4WIOQ;30.0;30.0;S;E;9
5189;66;1D7O0;48.0;30.0;S;E;9
5050;0;702LZ;40.0;49.0;S;E;9
5013;48;AWFUV;62.0;49.0;S;E;9
5027;4;TQB8N;86.0;39.0;S;E;9
6471;12;MZQ30;99.0;49.0;S;E;9
5033;50;VH3I6;70.0;89.0;S;E;9
5032;14;91S3F;81.0;77.0;S;E;9
5190;0;259MO;27.0;94.0;S;W;9
5091;5;O5KP3;74.0;92.0;S;E;9
5652;39;GKHJQ;34.0;95.0;S;E;9
5249;6;WUJ39;55.0;95.0;S;E;9
5230;92;LKRUX;87.0;93.0;S;E;9
5360;72;Y6S4I;91.0;93.0;S;E;9
7219;33;544WC;91.0;95.0;S;E;9
5164;64;DP7VC;26.0;98.0;S;E;9
5336;91;UWC11;47.0;99.0;S;E;9
5633;53;PD9X8;78.0;97.0;S;E;9
5443;94;Z6019;89.0;99.0;S;E;9
7236;9;8E7LF;93.0;92.0;S;E;9
6532;56;UB91K;99.0;93.0;S;E;9
6870;16;YEG9J;97.0;97.0;N;E;9
8462;52;ATF9P;99.0;99.0;S;E;9
11600;59;8M03U;7.0;1.0;S;E;10
10092;4;1BGFX;17.0;1.0;S;W;10
11336;82;YE3FA;1.0;2.0;S;W;10
9994;36;HDM00;10.0;4.0;S;E;10
10303;90;LU9MZ;11.0;2.0;S;E;10
9428;28;AIA0U;13.0;2.0;S;E;10
6844;90;KB4SH;18.0;1.0;S;E;10
6759;29;WS920;26.0;1.0;S;E;10
12923;43;EEM71;53.0;1.0;S;E;10
8039;24;KOH6E;24.0;2.0;N;E;10
8791;22;82Q2W;35.0;2.0;S;E;10
8991;20;SOFMU;28.0;3.0;S;E;10
8065;98;KD8S5;37.0;3.0;S;E;10
10360;30;Q27DG;48.0;3.0;S;E;10
6052;70;G3AUE;59.0;1.0;S;E;10
5648;82;BTVPA;73.0;1.0;S;E;10
12025;48;KS2ZQ;95.0;1.0;S;E;10
8474;92;N6MRD;66.0;2.0;S;E;10
7775;56;495TO;77.0;2.0;S;E;10
7004;83;8RAXO;74.0;3.0;S;E;10
6457;99;YFNYA;87.0;2.0;S;E;10
6101;78;EMHV7;92.0;3.0;S;E;10
6484;34;12TVF;94.0;3.0;N;E;10
6153;42;KF3U6;20.0;4.0;S;W;10
6042;51;PMGV3;35.0;4.0;S;E;10
6378;32;QQZHK;77.0;4.0;N;E;10
9566;63;FK3X5;98.0;4.0;S;E;10
6846;37;6FU3K;3.0;6.0;S;E;10
5840;54;ZWFUK;2.0;11.0;S;E;10
6018;56;N960L;3.0;9.0;S;E;10
5379;16;T670U;10.0;10.0;S;E;10
5618;64;UNN5U;2.0;15.0;S;E;10
5294;92;5FL7Q;9.0;22.0;S;E;10
8276;77;FST5J;10.0;16.0;N;E;10
5586;88;SOE5W;13.0;15.0;S;E;10
6264;24;LCWWL;11.0;23.0;S;E;10
5980;26;Y3UR9;15.0;25.0;S;E;10
5728;82;YOAQ4;16.0;5.0;S;E;10
5868;31;1RP2O;16.0;13.0;S;E;10
7203;30;3RQQ3;17.0;17.0;S;E;10
7290;84;140MY;17.0;22.0;S;E;10
8634;59;WV95L;19.0;18.0;N;E;10
9469;89;D6L1L;16.0;24.0;S;E;10
6104;66;YH2UU;20.0;24.0;S;E;10
7038;11;HJIVY;20.0;26.0;N;E;10
7740;96;WVOM3;20.0;28.0;S;E;10
5933;56;EOHJ8;1.0;31.0;S;E;10
5684;48;GZR02;1.0;52.0;S;E;10
6500;29;CRQNL;2.0;37.0;S;E;10
5498;82;YOLWJ;2.0;43.0;S;E;10
6045;8;ZW1FY;1.0;58.0;S;E;10
5665;9;VUWUS;2.0;68.0;S;E;10
6527;71;G2XMS;4.0;34.0;S;E;10
5862;15;6U1OP;4.0;60.0;S;E;10
7039;26;5X43T;5.0;32.0;N;E;10
5444;73;5L0WQ;7.0;45.0;S;E;10
7217;28;XKVVJ;4.0;67.0;S;E;10
7148;55;HSXFZ;4.0;69.0;S;E;10
7618;0;LYUF6;7.0;69.0;S;E;10
8308;33;NJ9R0;3.0;79.0;S;E;10
5408;71;MV609;3.0;81.0;S;E;10
5654;83;V9ZPK;3.0;97.0;S;E;10
5422;78;F5F7Q;5.0;75.0;S;E;10
5404;93;7DEJA;6.0;92.0;S;E;10
7001;71;PL3ET;7.0;96.0;N;E;10
7162;15;4WDRU;7.0;98.0;S;E;10
6679;9;0U1WH;8.0;30.0;S;E;10
7361;12;970K7;12.0;31.0;S;E;10
5656;9;T88LY;8.0;36.0;S;E;10
8488;85;IFMRX;16.0;32.0;S;E;10
5891;45;8WNBT;18.0;34.0;S;E;10
6531;10;VPFYV;20.0;36.0;S;E;10
5941;25;TN22F;8.0;41.0;S;E;10
5234;40;Z5LL1;8.0;53.0;S;E;10
5390;48;6T6KW;10.0;37.0;S;E;10
5442;93;X47TK;11.0;78.0;S;E;10
5244;75;59IMG;9.0;95.0;S;E;10
6597;72;1HTER;11.0;89.0;N;E;10
5715;27;2707L;12.0;54.0;S;E;10
5150;99;NAMNC;13.0;41.0;S;E;10
5487;36;WKP44;20.0;53.0;S;E;10
5792;25;Q4D2O;12.0;60.0;S;W;10
5564;54;AMSB4;12.0;62.0;S;E;10
5737;56;UDX7V;18.0;57.0;S;E;10
5159;31;4S6J6;18.0;76.0;S;E;10
5171;45;S3DZI;22.0;6.0;S;E;10
5328;11;TE322;26.0;56.0;S;E;10
5214;4;3M7DQ;27.0;9.0;S;E;10
5235;93;OWORV;27.0;19.0;S;E;10
5215;12;VCFYV;23.0;58.0;S;E;10
5710;28;GBGXQ;27.0;65.0;S;E;10
5299;75;ANGY1;28.0;67.0;S;E;10
5720;86;EDRYD;29.0;6.0;S;E;10
5960;28;168U7;29.0;61.0;S;E;10
8824;83;1K3NS;29.0;63.0;N;E;10
6007;87;OSJR5;21.0;70.0;S;W;10
8133;0;XEQTH;21.0;90.0;S;E;10
5945;57;ZKH04;25.0;71.0;S;E;10
9723;71;5DF9V;22.0;76.0;S;E;10
5759;77;4GH74;23.0;91.0;S;E;10
5292;62;SAM1G;29.0;88.0;S;E;10
7099;78;Z7KPM;29.0;90.0;S;E;10
5383;56;RPKI8;38.0;11.0;S;E;10
5869;0;CQXGE;30.0;18.0;S;E;10
5425;55;5MNSJ;30.0;26.0;S;E;10
5267;84;YAPQV;34.0;21.0;S;E;10
5246;52;DPOBN;34.0;23.0;N;E;10
5433;22;ZYOGF;41.0;6.0;S;E;10
5148;47;2G1WM;42.0;18.0;S;E;10
5053;34;T17KB;85.0;7.0;S;E;10
5116;5;FAPVR;68.0;23.0;S;E;10
5361;81;64WSJ;87.0;28.0;S;E;10
5316;8;E7V16;30.0;30.0;S;E;10
5368;54;3B6GV;52.0;30.0;S;E;10
5300;97;DK90V;43.0;31.0;S;E;10
5130;65;VPR07;40.0;39.0;N;W;10
5064;59;ALX3D;34.0;91.0;S;E;10
5056;76;K8HEE;65.0;41.0;S;E;10
5018;60;0BJDR;67.0;83.0;N;E;10
5122;42;QECTW;81.0;33.0;S;E;10
5134;28;2G3KA;69.0;44.0;S;E;10
6779;43;NQK9Y;98.0;33.0;S;E;10
5044;42;PIR13;71.0;81.0;S;E;10
7144;74;GTI0H;74.0;90.0;S;E;10
5043;48;9SSNG;93.0;75.0;S;E;10
5035;22;F2H9G;88.0;89.0;S;E;10
5264;59;5T1AU;28.0;92.0;S;E;10
5119;25;HBER7;70.0;92.0;S;E;10
5334;76;MLCVC;74.0;94.0;S;E;10
6182;32;1X88U;34.0;95.0;S;E;10
5384;91;3UKPO;55.0;95.0;S;E;10
5571;62;5WGL2;87.0;93.0;S;E;10
5385;11;M9MIY;91.0;93.0;S;E;10
8831;2;3J93K;91.0;95.0;S;E;10
5221;67;PSASN;24.0;97.0;S;E;10
5500;4;NZ5LX;32.0;99.0;S;E;10
5413;61;SST2P;47.0;99.0;S;E;10
5676;53;CI5EW;78.0;97.0;S;E;10
6107;86;Q5YNF;74.0;98.0;S;E;10
5709;98;CDXPT;83.0;98.0;S;E;10
7732;0;R574Q;93.0;92.0;S;E;10
8857;18;HIU2J;95.0;96.0;S;E;10
7153;92;RAGHO;99.0;93.0;S;E;10
8542;40;FIBTH;97.0;97.0;N;E;10
9226;88;IWIX4;99.0;99.0;S;E;10
12625;54;W8O7P;7.0;1.0;S;E;11
10289;88;8WEKC;17.0;1.0;S;W;11
14673;58;SXNE3;1.0;2.0;S;W;11
13275;19;9AHXD;10.0;4.0;S;E;11
10839;95;N07TZ;11.0;2.0;S;E;11
10523;58;1UYH0;13.0;2.0;S;E;11
7006;44;NO460;18.0;1.0;S;E;11
7321;21;CP6PZ;26.0;1.0;S;E;11
7027;50;CU6AF;41.0;1.0;S;E;11
13558;7;F5C5Y;53.0;1.0;S;E;11
10100;76;Q0Y54;24.0;2.0;N;E;11
9489;70;NR6FC;35.0;2.0;S;E;11
9201;16;L2M6E;28.0;3.0;S;E;11
8970;40;B0N4R;37.0;3.0;S;E;11
10637;18;ZXTGZ;45.0;2.0;S;E;11
11732;48;21T8E;48.0;3.0;S;E;11
7510;57;BRS4V;59.0;1.0;S;E;11
8271;24;J25KW;70.0;1.0;S;E;11
5962;44;SI6JN;73.0;1.0;S;E;11
6774;97;SJQ3N;91.0;1.0;S;E;11
13441;18;9GRFM;95.0;1.0;S;E;11
12431;27;4ZMHP;66.0;2.0;S;E;11
9008;68;T9WJ5;77.0;2.0;S;E;11
7246;26;GM8GK;64.0;3.0;S;E;11
6613;37;WJJS6;87.0;2.0;S;E;11
6648;38;2ULH9;92.0;3.0;S;E;11
7333;92;8I2UC;94.0;3.0;N;E;11
6994;22;S8GX6;20.0;4.0;S;W;11
6214;64;PAQBG;35.0;4.0;S;E;11
6523;33;OXE07;45.0;4.0;S;E;11
7281;21;A4N31;56.0;4.0;S;E;11
7583;35;CU9DX;87.0;4.0;S;E;11
9671;46;HFVBO;98.0;4.0;S;E;11
10365;54;E19KJ;3.0;6.0;S;E;11
6957;91;8FWZ8;2.0;11.0;S;E;11
6168;49;PHPFK;3.0;9.0;S;E;11
6612;12;K9HJN;5.0;9.0;S;E;11
5593;25;2IVY9;6.0;13.0;S;E;11
6139;63;7AEDX;14.0;11.0;S;E;11
5991;67;PRZR6;2.0;15.0;S;E;11
5357;76;4QOF7;7.0;28.0;S;E;11
10239;70;9FBO6;10.0;16.0;N;E;11
6209;94;D1NLY;13.0;19.0;S;E;11
7102;95;UDZOB;11.0;23.0;S;E;11
6809;28;YOTYZ;15.0;25.0;S;E;11
5890;97;VPZT2;16.0;7.0;S;E;11
6411;26;ND0XW;16.0;13.0;S;E;11
5965;79;5SCS5;20.0;8.0;S;E;11
10886;15;D94SN;17.0;17.0;S;E;11
7668;69;XT23L;17.0;22.0;S;E;11
8765;73;HV1P3;19.0;18.0;N;E;11
9665;0;YVY7S;16.0;24.0;S;E;11
7517;77;YOAKB;20.0;24.0;S;E;11
7645;44;REJNJ;20.0;26.0;N;E;11
8800;78;7Y9UN;20.0;28.0;S;E;11
6091;35;ZZVUF;1.0;31.0;S;E;11
5913;85;8DHJN;1.0;56.0;S;E;11
7324;98;E7ZA7;2.0;37.0;S;E;11
5908;61;M7559;2.0;43.0;S;E;11
5998;30;XIIIB;3.0;56.0;S;E;11
6574;95;PX795;1.0;58.0;S;E;11
7826;85;B6IFE;2.0;68.0;S;E;11
5736;31;FE3HJ;3.0;71.0;S;E;11
7639;96;BJU5Q;4.0;34.0;S;E;11
5898;18;IKAXY;4.0;63.0;S;E;11
7819;63;QHSZV;5.0;32.0;N;E;11
7433;41;RDJSD;6.0;42.0;S;E;11
5456;67;1B7OU;5.0;58.0;S;E;11
12109;68;W98O8;4.0;67.0;S;E;11
7327;50;KRIRO;4.0;69.0;S;E;11
8790;22;EBH2F;7.0;69.0;S;E;11
8917;33;I3RBE;3.0;79.0;S;E;11
5412;11;73DAM;1.0;84.0;S;E;11
5752;78;I3KGS;3.0;97.0;S;E;11
5758;56;0YUMN;5.0;75.0;S;E;11
5479;89;VSX2U;6.0;90.0;S;W;11
5795;89;44B44;7.0;78.0;S;E;11
7292;57;THZVV;7.0;96.0;N;E;11
8528;61;OO35D;7.0;98.0;S;E;11
8163;51;C8RCG;8.0;30.0;S;E;11
8193;24;V5Z4C;12.0;31.0;S;E;11
5723;39;AQ4L6;8.0;36.0;S;E;11
5846;21;4J8NZ;10.0;33.0;N;E;11
9708;14;AV32Y;16.0;32.0;S;E;11
5919;79;PF78L;18.0;30.0;S;E;11
6538;51;BJOLS;16.0;36.0;S;E;11
6117;94;WL5RI;8.0;41.0;S;E;11
5698;11;34FVB;8.0;67.0;S;E;11
5510;22;FBA6U;10.0;66.0;S;E;11
6074;47;SPY8F;11.0;66.0;S;E;11
5462;33;0UEJU;9.0;70.0;S;E;11
6350;25;DCAUH;9.0;95.0;S;E;11
5756;81;9JWIX;10.0;92.0;S;E;11
7179;95;B872K;11.0;89.0;N;E;11
5761;33;P2MY2;12.0;54.0;S;E;11
6332;7;3GXV7;13.0;39.0;S;E;11
5482;36;5EVYY;17.0;48.0;S;W;11
5596;65;VYHGD;15.0;52.0;S;E;11
6243;2;28QAV;12.0;60.0;S;W;11
5798;71;R0265;12.0;86.0;S;E;11
5789;93;CL98P;15.0;65.0;S;E;11
5763;4;VVIMK;19.0;67.0;S;E;11
5180;24;8W81O;17.0;92.0;S;E;11
5339;26;8BLW0;20.0;82.0;S;E;11
5431;5;G1ICP;22.0;37.0;S;E;11
5319;31;U3RIT;26.0;30.0;S;E;11
5634;89;5M40W;26.0;56.0;S;E;11
6235;18;8LJEX;27.0;11.0;S;E;11
5288;74;DSRIN;28.0;17.0;S;E;11
5392;50;V3Z26;27.0;19.0;S;E;11
5751;9;PH0AQ;28.0;51.0;S;E;11
5401;52;0R49N;21.0;68.0;S;E;11
5615;13;4JUKG;25.0;58.0;S;W;11
6253;50;KYALS;27.0;65.0;S;E;11
7478;13;GUP4Q;28.0;67.0;S;E;11
6580;36;WYD89;29.0;34.0;S;E;11
6551;21;0MFML;29.0;61.0;S;E;11
9160;25;QW1LN;29.0;63.0;N;E;11
6689;31;BKA5U;21.0;82.0;S;E;11
9178;60;9MTQV;21.0;90.0;S;E;11
6219;48;A20CS;24.0;73.0;S;E;11
6575;24;D6O5X;28.0;73.0;S;E;11
11645;42;7681V;22.0;76.0;S;E;11
10225;72;WPWIH;28.0;75.0;S;E;11
6657;87;H9DBZ;22.0;78.0;S;E;11
5873;43;59TZF;24.0;77.0;S;E;11
5461;66;3DUKC;27.0;81.0;S;E;11
8361;16;M9M5K;29.0;90.0;S;E;11
5505;19;XTGNW;33.0;8.0;S;E;11
5541;93;VJ40G;39.0;5.0;S;E;11
7613;46;UF5OI;30.0;20.0;S;E;11
8564;74;ZMX81;31.0;14.0;S;W;11
